"ID","PERMITNUMBER","PERMITTYPE","PERMITTYPEKEY","STATUS","CONTRACTOR","CATEGORYNAME","WORKTYPE","ZONING","SQUAREFEET","PERMITFEE","PROJECTCOSTS","ADDRESS","CITY","STATE","ZIPCODE","GPSX","GPSY","DISTRICT","NEIGHBORHOOD","ISSUEDATE","Latitude","Longitude"
"869","EL941492","Electrical Permit","ELECTRICAL","Issued","NTA MAINTENANCE","Single Family","Rewire Repair Add Wiring","R4","0","85","1100","6910   WINDHAM PKY","PROSPECT","KY","40059-0000","1246749","313552","16","","2015-05-18 14:55:28","38.352966904699997","-85.622831038800001"
"872","HV956573","HVAC Permit","HVAC","Issued","ELDER HEATING AC","Single Family","Replacement","R4","0","155","16850","7105   HUNTING CREEK DR","PROSPECT","KY","40059-0000","1250294","312958","16","","2015-09-10 10:28:35","38.351480408999997","-85.610439828500006"
"894","HV964948","HVAC Permit","HVAC","Issued","ACCU-TEMP HEATING & AIR CONDIT","Single Family","Replacement","R4","0","155","11713","9518   MAPLE RD","LOUISVILLE","KY","40229-0000","1238558","224745","23","","2015-11-10 12:56:09","38.108791469800003","-85.646695149899998"
"897","BL956012","Building Permit","BUILDING","Issued","DEVILLE HOMES INC","Single Family","Renovation - Alter - Repair","R4","3900","292.5","250000","10114   GLEN ROSE CT","LOUISVILLE","KY","40229-0000","1231935","226396","24","","2015-09-08 09:27:26","38.113046589","-85.669798799399999"
"898","EL946862","Electrical Permit","ELECTRICAL","Issued","REX SCHWEINHART","Single Family","Rewire Repair Add Wiring","R4","0","85","1000","10114   GLEN ROSE CT","LOUISVILLE","KY","40229-0000","1231935","226396","24","","2015-07-01 15:56:55","38.113046589","-85.669798799399999"
"975","HV954258","HVAC Permit","HVAC","Issued","PROJECT HEATING","Single Family","New","R4","0","255","77900","9306   DEEPA DR","LOUISVILLE","KY","40059-0000","1258290","300908","16","","2015-08-24 12:15:48","38.318715809700002","-85.581952395000002"
"1016","BL940343","Building Permit","BUILDING","Issued","FRANK J SCHAEFER INC","Multi Family","Renovation - Alter - Repair","R5A","1022","132.86","27000","10208   SUMMIT PARK PL","LOUISVILLE","KY","40241-0000","1263873","300675","16","","2015-05-12 13:41:28","38.318296135099999","-85.562483201099994"
"1019","14HV8023","HVAC Permit","HVAC","Issued","STIVERS HEATING AC","Single Family","Replacement","R5A","0","75","2533","651   BRECKENRIDGE LN","ST MATTHEWS","KY","40207-0000","1239697","273760","26","","2014-07-16 14:42:58","38.243419797100003","-85.645317608400006"
"1131","EL951560","Electrical Permit","ELECTRICAL","Issued","PAYNE ELECTRIC COMPANY INC","Single Family","New","R5A","0","160","6692","202   BECKLEY RIDGE LN","MIDDLETOWN","KY","40245-0000","1281742","272993","19","","2015-08-05 11:12:16","38.242971056199998","-85.498898472899995"
"1165","HV955821","HVAC Permit","HVAC","Issued","MAESER MASTER SERVICES","Single Family","Replacement","","0","105","1700","10724   WORTHINGTON LN","NOT IN JEFF CO","KY","40059-0000","1268343","306947","","","2015-09-03 15:20:04","38.335691087500003","-85.547212490500002"
"1174","FP954624","Fireplace Permit","FIREPLACE","Issued","FIREPLACE DISTRIBUTORS","Single Family","Gas","R4","0","35","1000","4509   SALVATORE WAY","LOUISVILLE","KY","40241-0000","1248372","298593","16","","2015-08-26 14:56:40","38.311960611899998","-85.616398171200004"
"1180","14BL4136","Building Permit","BUILDING","Issued","BRIGHT BUILT HOMES INC","Misc (Tent, Foundation, Etc)","Miscellaneous","C2","1095","120.45","11350","7716   ASHTON PARK CIR","LOUISVILLE","KY","40228-0000","1247723","233493","23","","2014-08-20 10:08:28","38.133188431699999","-85.6152967628"
"1184","BL932696","Building Permit","BUILDING","Issued","DOGWOOD HOMES OF KY, LLC","Single Family","Addition","R3","157","50","15000","8209   SPRING GLADE PL","LOUISVILLE","KY","40059-0000","1254347","301163","16","","2015-02-18 09:39:40","38.319258581600003","-85.595707275999999"
"1185","BL940660","Building Permit","BUILDING","Issued","DMK DEVELOPMENT","Single Family","New","R4","1536","115.2","70187","12800   VILLA GROVE DR","LOUISVILLE","KY","40245-0000","1278454","292849","17","","2015-05-15 15:43:42","38.297367537200003","-85.511292523700007"
"1222","13HV6709","HVAC Permit","HVAC","Issued","ONE CHOICE MECHANICAL LLC","Single Family","New","R3","0","125","4000","403   DUFF LN","ROLLING FIELDS","KY","40207-0000","1234118","282824","07","","2013-10-23 14:09:58","38.268072952099999","-85.665225721400006"
"1223","13BL1336","Building Permit","BUILDING","Issued","LYNN ENTERPRISES LLC","Single Family","Addition","R3","1225","91.88","225000","403   DUFF LN","ROLLING FIELDS","KY","40207-0000","1234118","282824","07","","2013-06-14 11:13:14","38.268072952099999","-85.665225721400006"
"1224","331602","HVAC Permit","HVAC","Issued","ROBBINS HEATING & A/C CO., INC.","Commercial","New","C2","0","75","1314","1961   BROWNSBORO RD","LOUISVILLE","KY","40206-0000","1221353","280180","09","CLIFTON HEIGHTS","2012-06-11 08:34:28","38.260266403300001","-85.709535707200004"
"1227","EL956902","Electrical Permit","ELECTRICAL","Issued","ADVANCED ELECTRICAL SYSTEMS","Commercial","Rewire Repair Add Wiring","R5","0","100","4000","1140   EASTERN PKY","LOUISVILLE","KY","40217-0000","1216247","267089","08","POPLAR LEVEL","2015-09-14 09:54:41","38.224099505200002","-85.726585231300007"
"1243","BL929305","Building Permit","BUILDING","Issued","HUNTER & ASSOCIATES CONST CO I","Single Family","Renovation - Alter - Repair","R6","100","50","2000","10512   GOING CT","LOUISVILLE","KY","40241-0000","1265793","297211","17","","2015-01-13 11:42:40","38.308859930799997","-85.555620591799993"
"1252","13HV1669","HVAC Permit","HVAC","Issued","PRUDENTIAL HVAC","Single Family","Replacement","R5A","0","75","1","3524   WINTERBERRY CIR","LOUISVILLE","KY","40207-0000","1232266","280353","09","CRESCENT HILL","2013-06-10 12:39:32","38.261210073699999","-85.671542784799996"
"1281","HV965427","HVAC Permit","HVAC","Issued","PROJECT HEATING","Single Family","Replacement","R3","0","105","8200","926   AUDUBON PKY","AUDUBON PARK","KY","40213-0000","1214558","259682","10","","2015-11-12 14:08:46","38.2036879009","-85.732048969299996"
"1317","HV944463","HVAC Permit","HVAC","Issued","AUTOMATIC AIR CORP","Single Family","Replacement","R6","0","105","500","1308   LEXINGTON RD","LOUISVILLE","KY","40204-0000","1216333","276522","04","IRISH HILL","2015-07-10 14:50:58","38.250003070399998","-85.726812373900003"
"1331","HV955813","HVAC Permit","HVAC","Issued","PRUDENTIAL HVAC","Single Family","Replacement","R5","0","105","12350","137 N PETERSON AVE","LOUISVILLE","KY","40206-0000","1224576","278480","09","CRESCENT HILL","2015-09-04 14:38:01","38.255738475299999","-85.698219251699996"
"1341","EL943384","Electrical Permit","ELECTRICAL","Issued","KEITH BAKER ELECTRIC LLC","Single Family","Rewire Repair Add Wiring","R5","0","85","1000","1643   RANGELAND RD","LOUISVILLE","KY","40218-0000","1231650","245933","02","","2015-06-04 12:41:18","38.166677371600002","-85.671837439399994"
"1372","94901","Building Permit","BUILDING","Issued","EQUITY REMODEL DBA CERTIFIED H","Single Family","Renovation - Alter - Repair","R5","472","30","20710","5515   SULLIVAN WAY","LOUISVILLE","KY","40229-0000","1235716","219900","23","","2005-12-07 15:30:51","38.095369701599999","-85.6563141508"
"1389","HV942845","HVAC Permit","HVAC","Issued","E & E MECHANICAL","Commercial","Alteration","UN","0","330","28000","529 E LIBERTY ST","LOUISVILLE","KY","40202-0000","1211563","277112","04","PHOENIX HILL","2015-06-01 10:17:42","38.251411809499999","-85.743453651699994"
"1398","202038","Electrical Permit","ELECTRICAL","Issued","JOHN WATERS ELECTRIC CO INC","Single Family","Rewire Repair Add Wiring","R6","0","43","2100","1018   CALDWELL ST","LOUISVILLE","KY","40204-0000","1213642","272236","04","GERMANTOWN","2008-07-09 07:41:21","38.238116359999999","-85.735941014700003"
"1456","13BL5130","Building Permit","BUILDING","Issued","SWISHER CONSTRUCTION LLC","Commercial","Renovation - Alter - Repair","C1","0","190","66000","1406   BROWNS LN","ST MATTHEWS","KY","40207-0000","1244327","270329","26","","2013-09-20 16:10:37","38.234190782600002","-85.629019379599995"
"1476","HV965557","HVAC Permit","HVAC","Issued","TOM DREXLER PLUMBING","Single Family","Replacement","R4","0","155","100","3007 S CRUMS LN","LOUISVILLE","KY","40216-0000","1186095","256855","01","","2015-11-13 13:25:51","38.1946264312","-85.830916575700002"
"1482","HV950888","HVAC Permit","HVAC","Issued","FOUR SEASONS HVAC","Single Family","Replacement","R4","0","105","2750","3530   WILLIS AVE","ST MATTHEWS","KY","40207-0000","1235428","275536","09","","2015-07-31 09:44:17","38.248117606400001","-85.660274760899995"
"1483","HV952271","HVAC Permit","HVAC","Issued","CAIR HEATING & COOLING LLC","Single Family","Replacement","R4","0","105","5000","3602   ENDEAVOR WAY","LOUISVILLE","KY","40219-0000","1224328","232514","24","","2015-08-17 11:06:09","38.129519778099997","-85.696568820099998"
"1490","EL962148","Electrical Permit","ELECTRICAL","Issued","SABER ELECTRIC","Single Family","Rewire Repair Add Wiring","R5","0","50","400","4017 S 5TH ST","LOUISVILLE","KY","40214-0000","1204143","257029","15","WYANDOTTE","2015-10-20 12:27:01","38.195937902399997","-85.768136002800006"
"1571","EL962019","Electrical Permit","ELECTRICAL","Issued","CORRIGAN ELECTRIC CO INC","Single Family","Rewire Repair Add Wiring","R2","0","50","9000","1711   SPRING HILL DR","ANCHORAGE","KY","40223-0000","1267416","283241","17","","2015-10-19 15:46:11","38.270565253400001","-85.549278179799998"
"1711","BL959362","Building Permit","BUILDING","Issued","KAJIMA BUILDING & DESIGN GROUP","Commercial","Renovation - Alter - Repair","EZ1","12338","1357.18","1136500","1860   OUTER LOOP","LOUISVILLE","KY","40219-0000","1212970","231497","13","","2015-10-26 10:37:29","38.126230911900002","-85.735992105899996"
"1740","HV954959","HVAC Permit","HVAC","Issued","PROJECT HEATING","Single Family","New","R4","0","105","10200","603   DAVENPORT DR","LOUISVILLE","KY","40245-0000","1295476","273485","19","","2015-08-28 17:19:45","38.244823549300001","-85.451104810199993"
"1751","EL962573","Electrical Permit","ELECTRICAL","Issued","MORRIS ELECTRIC COMPANY","Single Family","Rewire Repair Add Wiring","R4","0","50","2000","4311   HAMPTON CREEK DR","LOUISVILLE","KY","40241-0000","1248159","296968","16","","2015-10-22 13:44:14","38.307490195100002","-85.617056378599997"
"1787","14BL2184","Building Permit","BUILDING","Issued","ALL AMERICA POOL CO PAT OBRYAN","Single Family","Pool","R6","800","88","38000","8600   BATES RD","LOUISVILLE","KY","40228-0000","1244299","228134","23","","2014-04-11 11:03:16","38.118334096799998","-85.626920865599999"
"1799","HV949171","HVAC Permit","HVAC","Issued","DFH COMPANY","Commercial","Replacement","PEC","0","180","7286","3821   COLLINS LN","LOUISVILLE","KY","40245-0000","1276040","293284","17","","2015-07-24 13:45:09","38.298470854900003","-85.519724163500001"
"1814","13BL1146","Building Permit","BUILDING","Issued","HOMEWORK RESIDENTIAL RENOVATIO","Single Family","Addition","R5","280","50","46000","613   WATAGA DR","LOUISVILLE","KY","40206-0000","1226352","275140","09","CRESCENT HILL","2013-08-05 08:39:38","38.2466444557","-85.691853036699996"
"1824","BL916117","Building Permit","BUILDING","Issued","TRIUMPH LANDSCAPE CONSTRUCTION","Single Family","Addition","R3","256","50","3500","5308   HEMPSTEAD RD","INDIAN HILLS","KY","40207-0000","1238321","288537","16","","2014-09-12 13:57:31","38.283935438599997","-85.650890679200003"
"1833","HV964477","HVAC Permit","HVAC","Issued","SEWARD HEATING COOLING CO","Single Family","Replacement","R5","0","105","4500","1829   TREVILIAN WAY","LOUISVILLE","KY","40205-0000","1225397","264826","08","BELKNAP","2015-11-06 11:06:03","38.218284486599998","-85.694614723200004"
"1875","HV959921","HVAC Permit","HVAC","Issued","BRYANT HEATING & AC","Single Family","Replacement","R4","0","105","1000","3611   SORRENTO AVE","BARBOURMEADE","KY","40241-0000","1252415","295100","16","","2015-10-05 12:01:31","38.302533754499997","-85.602130380800006"
"1884","13BL4710","Building Permit","BUILDING","Issued","GREAT DAY IMPROVEMENTS","Single Family","Addition","R4","252","50","21989","1604   GREY OWL CT","LOUISVILLE","KY","40223-0000","1264940","282664","18","","2013-08-21 08:54:36","38.268884745100003","-85.557873170299999"
"1893","14BL1813","Building Permit","BUILDING","Issued","MCMAHAN GROUP","Commercial","Renovation - Alter - Repair","C1","7233","175","25000","2931   RICHLAND AVE","LOUISVILLE","KY","40220-0000","1245162","265555","26","HIKES POINT","2014-07-02 10:11:48","38.221117075899997","-85.625864424"
"1894","SI952222","Sign Permit","SIGN","Issued","ANCHOR SIGN INC","Commercial","On Premises Sign","C1","0","60.74","3920","2931   RICHLAND AVE","LOUISVILLE","KY","40220-0000","1245162","265555","26","HIKES POINT","2015-08-13 12:16:27","38.221117075899997","-85.625864424"
"1944","EL946381","Electrical Permit","ELECTRICAL","Issued","ARTHUR GORDON ELECTRIC CO","Single Family","Rewire Repair Add Wiring","R7","0","50","900","1615   FRANKFORT AVE","LOUISVILLE","KY","40206-0000","1218177","279603","09","BUTCHERTOWN","2015-06-29 09:19:08","38.258543442700002","-85.720563281899999"
"1965","EL963664","Electrical Permit","ELECTRICAL","Issued","NBI ELECTRIC & MORE INC.","Single Family","Rewire Repair Add Wiring","OR1","0","85","400","108   MCARTHUR DR","ST MATTHEWS","KY","40207-0000","1241911","276911","07","","2015-10-30 14:55:30","38.252163325399998","-85.637774868799994"
"1974","14BL1326","Building Permit","BUILDING","Issued","PERDUE CONSTRUCTION INC","Single Family","Renovation - Alter - Repair","R6","1400","105","50000","228   POPE ST","LOUISVILLE","KY","40206-0000","1219492","279544","09","CLIFTON","2014-02-17 14:10:55","38.2584390102","-85.715980944899997"
"1987","HV961952","HVAC Permit","HVAC","Issued","TOM DREXLER PLUMBING","Single Family","Replacement","R5","0","55","100","1817   WOODBOURNE AVE","LOUISVILLE","KY","40205-0000","1226206","266220","08","BELKNAP","2015-10-19 11:44:38","38.2221467691","-85.691875143100006"
